"Click here and choose your delivery time-slot","Klicken Sie hier und wählen Sie Ihr Lieferzeit-Fenster aus"
"You have successfully selected time window","Ihre Auswahl wurde erfoglreich in unser System erfasst"
"Notime Widget Button (edit mode)","Notime Widget Button (edit mode)"
"Notime Widget Code (edit mode)","Notime Widget Code (edit mode)"
"Notime Widget Button (view mode)","Notime Widget Button (view mode)"
"Notime Widget Code (view mode)","Notime Widget Code (view mode)"
"Not Supported Postcode","Diese Dienstleistung gibts für Ihre PLZ noch nicht."
"Please choose another postcode or another delivery method","Bitte wählen Sie eine andere PLZ oder eine andere Versandart aus."
